Kenpom Rank,Seed,Kenpom Seed,Team,Record,Adj-O,Adj-O Rank,Adj-D,Adj-D Rank,Adj-T,Adj-T Rank,Luck,Luck Rank,SOS,SOS Rank,OppO,OppO Rank,OppD,OppD Rank,Non-Con SOS,Non-Con SOS Rank
1,1,1,Gonzaga,26-0,126,1,89.5,9,74.8,4,0.018,136,7.73,95,105.8,97,98.1,98,6,107
2,1,1,Michigan,20-4,119.5,6,88.7,7,66.8,260,0.026,115,16.78,15,111.3,12,94.6,18,2.65,165
3,1,1,Illinois,23-6,119,7,88.4,5,70.7,80,0.03,110,18.84,3,112.6,2,93.8,10,9.86,58
4,1,1,Baylor,22-2,123.3,3,93.8,44,68.4,180,0.05,68,9.59,79,106.5,90,96.9,66,-4.17,270
5,2,2,Iowa,21-8,123.5,2,94.7,50,70,100,-0.028,240,16.87,13,110.4,20,93.5,6,-5.48,286
6,2,2,Houston,24-3,119,8,90.1,15,64.9,327,-0.009,201,6.6,106,103.8,149,97.2,73,1.7,186
7,2,2,Ohio State,21-9,122.3,4,96.9,79,67.1,248,0.003,163,18.74,5,111.7,8,93,3,2.82,161
8,2,2,Alabama,24-6,111.8,34,86.7,3,73.9,9,0.031,107,14.24,27,109.8,28,95.5,32,8.92,69
9,8,3,Loyola Chicago,24-4,110.5,49,86.7,1,64.2,342,-0.02,225,4.1,133,104.3,136,100.2,135,4.9,129
10,4,3,Virginia,18-6,115.7,12,93.1,33,60.1,357,0.046,82,12,53,109.6,30,97.6,85,0.2,211
11,9,3,Wisconsin,17-12,112.6,32,89.9,12,64.9,326,-0.049,283,18.03,9,111.8,7,93.7,9,1.22,194
12,5,3,Villanova,16-6,118.7,9,96,68,65.1,320,-0.006,196,12.98,41,108.9,44,95.9,41,7.36,91
13,4,4,Purdue,18-9,113.7,23,91.4,23,66.5,274,0.019,131,17.23,11,111.5,11,94.3,12,5.68,112
14,4,4,USC,22-7,112.9,29,90.7,19,67.3,236,-0.006,194,11.1,65,108.1,57,97,70,4.98,128
15,4,4,Florida State,16-6,116.5,10,94.4,48,70.5,84,-0.011,207,12.55,43,108.8,46,96.3,45,4.27,141
16,7,4,Connecticut,15-7,113.6,24,91.7,25,66,301,-0.066,307,12.57,42,107.9,62,95.3,28,-2.02,243
17,5,5,Colorado,22-8,114.5,16,92.8,29,66.4,280,-0.033,252,10.75,68,107.8,67,97.1,72,1.97,179
18,3,5,Arkansas,22-6,111.6,35,90,13,73.1,17,0.056,56,11.23,60,108.2,56,97,69,-5.27,282
19,5,5,Creighton,20-8,114.9,13,93.6,40,69.1,143,0.001,172,12.5,45,107.9,66,95.4,29,-1.43,234
20,6,5,San Diego State,23-4,110.8,45,89.6,11,66.1,298,0.018,134,6.21,109,105.7,101,99.5,121,10.75,49
21,5,6,Tennessee,18-8,108.9,71,87.8,4,67.3,233,-0.007,199,12.49,47,108.4,53,95.9,39,-0.64,221
22,3,6,Kansas,20-8,109.7,58,88.6,6,68.3,186,0.042,86,14.73,21,110.1,23,95.4,31,10.18,55
23,6,6,Texas Tech,17-10,112.4,33,91.5,24,65.4,316,-0.091,333,11.31,59,108,59,96.7,59,-5.54,288
24,9,6,St Bonaventure,16-4,111.5,37,90.5,16,65.2,319,0.014,143,8.43,90,106,95,97.5,81,2.71,162
25,6,7,BYU,20-6,113.1,28,92.2,26,68,200,0.045,83,10.2,74,107.9,65,97.7,87,8.66,74
26,3,7,Texas,19-7,113.9,21,93.3,36,69.2,138,0.017,140,14.07,30,109,40,95,23,8.34,79
27,3,7,West Virginia,18-9,116.2,11,95.8,65,69.6,114,-0.04,265,14.92,19,109.4,36,94.4,17,13.77,26
28,8,7,North Carolina,18-10,110.2,53,90.1,14,71.8,45,-0.017,217,14.2,28,110.8,14,96.6,55,7.68,87
29,8,8,LSU,18-9,119.9,5,100.2,125,70.7,78,0.002,167,13.54,36,107.9,64,94.3,14,0.58,204
30,4,8,Oklahoma State,20-8,110.1,54,91.3,22,71.9,43,0.039,88,14.65,22,110.7,16,96,42,4.53,134
31,10,8,Maryland,16-13,111,43,92.3,27,65.3,317,-0.035,253,17.03,12,110.2,22,93.1,4,-0.75,225
32,9,8,Georgia Tech,17-8,113.4,27,94.8,53,67.8,215,-0.005,192,12.25,50,108.8,47,96.5,51,-0.97,227
34,10,9,Rutgers,15-11,108.7,74,90.6,18,67.8,213,0.032,104,18.16,7,112.5,4,94.3,13,-5.41,285
36,7,9,Florida,14-9,111.1,40,93.4,37,68.6,165,0.003,166,14.8,20,109.8,27,95.1,24,8.65,75
37,7,9,Oregon,20-6,114.5,15,96.8,76,67.2,242,0.048,75,10.04,75,107.7,68,97.7,88,2.71,163
39,8,9,Oklahoma,15-10,111.5,36,94.8,52,67.7,222,-0.038,260,12.47,48,108.2,55,95.8,38,0.59,202
40,11,10,Utah State,20-8,105.8,114,89.3,8,68.9,153,-0.032,248,5.09,119,104.9,124,99.8,127,7.48,88
41,11,10,Syracuse,16-9,113.9,22,97.7,90,69.2,139,0.017,137,11.64,57,108.6,51,96.9,65,2.41,173
42,7,10,Clemson,16-7,106.9,99,90.8,20,64.2,338,0.123,7,14.19,29,109.6,33,95.4,30,11.66,42
43,10,10,VCU,19-7,105.6,116,89.6,10,69.8,110,0.035,98,9.09,85,106.7,85,97.6,83,5.54,118
45,11,11,UCLA,17-9,113.5,26,97.6,86,64.7,332,0.024,119,11.84,55,108.6,50,96.8,61,9.04,67
50,10,11,Virginia Tech,15-6,110.1,55,94.9,54,66.1,293,0.066,45,9.31,80,107.6,71,98.3,104,0.56,206
51,9,11,Missouri,16-9,110.3,51,95.1,58,68.7,159,0.088,25,15.11,17,109.9,26,94.8,20,9.75,59
53,11,11,Drake,25-4,114,19,99.4,120,66.8,265,0.095,22,2.14,157,102.9,172,100.8,138,-9.31,311
56,12,11,Georgetown,13-12,107.8,85,93.7,42,69.6,113,0.001,171,14.44,25,110.3,21,95.9,40,4.52,135
57,11,11,Michigan State,15-12,107,98,93.1,34,68.6,166,0.106,16,18.11,8,112.5,3,94.4,16,-0.7,224
68,12,12,UC Santa Barbara,22-4,109.3,66,97.1,82,66.1,295,0.054,62,-0.58,185,101.4,216,102,174,2.42,172
71,13,12,North Texas,17-9,105.4,119,93.7,41,63.1,350,-0.042,272,4.39,127,103.5,156,99.2,116,5.25,124
74,11,12,Wichita State,16-5,110.1,56,98.5,103,67.6,225,0.121,10,9.11,84,105.5,105,96.4,48,12.61,35
79,13,12,Ohio,16-7,112.9,30,102.1,178,69.3,130,0.027,113,3.9,135,105.2,112,101.3,149,1.4,192
84,14,13,Colgate,14-1,111,44,100.7,139,72.4,25,0.05,70,-6.6,313,99.2,283,105.8,328,-99,331
85,12,13,Oregon State,17-12,109.4,64,99.2,117,65.4,315,0.075,38,11.14,63,108.6,49,97.5,80,-6.21,292
86,14,13,Abilene Christian,23-4,103.1,157,93,30,69.9,102,-0.027,238,-8.14,331,97.7,318,105.8,329,4.3,140
92,12,13,Winthrop,23-1,105.2,120,96.2,69,73.6,11,0.032,103,-6.42,309,98.9,289,105.3,315,3.99,145
98,13,14,Liberty,23-5,110.2,52,101.8,167,63.1,347,-0.013,211,-6.61,314,98.6,299,105.2,310,1.18,195
99,13,14,UNC Greensboro,21-8,104.2,127,96,66,68.5,174,0.005,161,0.78,169,103.3,161,102.5,191,-2.72,252
108,15,14,Grand Canyon,17-6,103.7,142,96.7,75,65.4,314,-0.061,299,-4.04,255,100.3,245,104.3,270,0.64,200
110,14,14,Eastern Washington,16-7,107.7,86,101.1,152,72.3,28,-0.081,323,-3.26,236,100.6,237,103.9,245,17.67,12
127,14,15,Morehead State,23-7,100.3,214,96.3,72,65.6,312,0.152,3,-1.96,215,101.5,215,103.4,230,16.56,14
145,16,15,Drexel,12-7,107.2,92,105.6,247,64.2,340,-0.043,274,-3.27,237,100.5,241,103.8,240,-5.5,287
152,15,15,Cleveland State,19-7,100.8,200,99.6,122,66.3,282,0.19,1,-1.26,201,105,117,106.2,337,20.79,6
153,15,15,Oral Roberts,16-10,108.7,73,107.5,285,71.8,47,0.013,147,-0.03,177,102.9,173,102.9,208,21.36,4
181,15,16,Iona,12-5,100.4,209,101.5,159,68.3,185,0.038,91,-7.04,319,97.4,321,104.5,276,-0.38,216
192,16,16,Hartford,15-8,97.6,254,100.3,128,66.7,269,0.078,32,-6.23,304,98.2,309,104.5,275,-0.13,212
200,16,16,Norfolk State,16-7,100.7,203,104.4,219,67.7,221,0.031,106,-8.28,333,97,326,105.3,312,-0.68,223
208,16,16,Appalachian State,17-11,99.5,227,103.8,206,65.7,310,0.06,52,-2.96,231,100.2,249,103.2,220,5.65,113
219,16,16,Mount St Mary's,12-10,95.5,287,100.5,135,62.2,356,0.006,157,-6.05,303,99.5,274,105.5,320,11.56,43
229,16,16,Texas Southern,16-8,99,236,105.1,235,72,41,0.055,60,-10.24,341,94.1,341,104.3,268,13.33,30
